Points:0,Points:1
0.507852675,0.7498762499999999
0.5,0.75
0.5078919375,0.75112625
0.5,0.75125
0.515697625,0.7495062499999999
0.515776125,0.75075375
0.523527,0.74889
0.523644625,0.750135
0.53133325,0.74802875
0.531489875,0.74926875
0.5391085,0.7469224999999999
0.539304125,0.74815625
0.54684525,0.7455712499999999
0.5470795,0.7468
0.55453575,0.7439787499999999
0.554808375,0.74519875
0.562172375,0.7421449999999999
0.56248325,0.7433562499999999
0.569747625,0.7400725
0.570096375,0.7412737500000001
0.577254125,0.7377637499999999
0.577640375,0.7389525
0.58468425,0.73522
0.58510775,0.7363962500000001
0.5920308750000001,0.7324437500000001
0.592491125,0.73360625
0.59928675,0.72943875
0.599783125,0.730585
0.6064444999999999,0.72620625
0.60697675,0.7273375
0.613497375,0.72275125
0.614064875,0.723865
0.620438125,0.71907625
0.62104025,0.72017125
0.6272599999999999,0.715185
0.62789625,0.71626125
0.63395625,0.7110812500000001
0.63462625,0.7121375
0.64052,0.7067699999999999
0.6412225,0.7078037500000001
0.6469462500000001,0.70225375
0.64768125,0.7032649999999999
0.65322625,0.69753875
0.6539925,0.69852625
0.659355,0.6926275
0.6601525,0.69359125
0.6653275,0.6875275
0.66615375,0.6884650000000001
0.67113625,0.6822412499999999
0.6719925,0.6831525
0.67677625,0.67677625
0.6776599999999999,0.6776599999999999
0.6822412499999999,0.67113625
0.6831525,0.6719925
0.6875275,0.6653275
0.6884650000000001,0.66615375
0.6926275,0.659355
0.69359125,0.6601525
0.69753875,0.65322625
0.69852625,0.6539925
0.70225375,0.6469462500000001
0.7032649999999999,0.64768125
0.7067699999999999,0.64052
0.7078037500000001,0.6412225
0.7110812500000001,0.63395625
0.7121375,0.63462625
0.715185,0.6272599999999999
0.71626125,0.62789625
0.71907625,0.620438125
0.72017125,0.62104025
0.72275125,0.613497375
0.723865,0.614064875
0.72620625,0.6064444999999999
0.7273375,0.60697675
0.72943875,0.59928675
0.730585,0.599783125
0.7324437500000001,0.5920308750000001
0.73360625,0.592491125
0.73522,0.58468425
0.7363962500000001,0.58510775
0.7377637499999999,0.577254125
0.7389525,0.577640375
0.7400725,0.569747625
0.7412737500000001,0.570096375
0.7421449999999999,0.562172375
0.7433562499999999,0.56248325
0.7439787499999999,0.55453575
0.74519875,0.554808375
0.7455712499999999,0.54684525
0.7468,0.5470795
